 ,Area,Mean,Min,Max,X,Y
1,0.000,179,179,179,0.493,0.805
2,0.000,125,125,125,0.939,0.802
3,0.000,25,25,25,0.939,0.195
4,0.000,143,143,143,0.493,0.199
