 ,Area,Mean,Min,Max,X,Y
1,0.000,142,142,142,-0.198,-0.651
2,0.000,133,133,133,-0.031,-0.519
3,0.000,168,168,168,0.178,-0.335
4,0.000,171,171,171,0.398,-0.127
5,0.000,56,56,56,0.626,0.124
6,0.000,115,115,115,0.969,0.474
7,0.000,72,72,72,1.124,0.643
8,0.000,3,3,3,1.313,0.855
9,0.000,78,78,78,1.468,1.019
