 ,Area,Mean,Min,Max,X,Y
1,0.000,74,74,74,0.358,-0.694
2,0.000,0,0,0,0.487,-0.594
3,0.000,1,1,1,0.649,-0.480
4,0.000,66,66,66,0.865,-0.339
5,0.000,6,6,6,1.078,-0.190
6,0.000,1,1,1,1.290,-0.040
7,0.000,29,29,29,1.464,0.077
8,0.000,6,6,6,1.684,0.254
9,0.000,10,10,10,1.865,0.395
10,0.000,132,132,132,2.027,0.541
11,0.000,116,116,116,2.213,0.713
12,0.000,5,5,5,2.332,0.839
