 ,Area,Mean,Min,Max,X,Y
1,0.000,31,31,31,-0.156,-0.493
2,0.000,5,5,5,-0.150,0.182
3,0.000,163,163,163,0.347,0.404
4,0.000,95,95,95,0.348,0.105
5,0.000,12,12,12,0.101,0.003
6,0.000,198,198,198,0.101,-0.496
